num,nombre,partido,eleccion,entidad,camara,propietario,twitter,facebook,youtube,pagina_personal
539,Fayad Meneses Omar,PRI,Mayoría Relativa,Hidalgo,S,PROPIETARIO,omarfayad,Omar-Fayad,omarfayadm,www.omarfayad.org.mx
540,Fernández Aguirre Braulio Manuel,PRI,Primera Minoría,Coahuila,S,PROPIETARIO,brauliomfdz,brauliomanuelfdz,,
541,Flores Escalera Hilda Esthela,PRI,Representación Proporcional,,S,PROPIETARIO,HildaFloresE,HildaFloresE,HildaFloresE,www.hildaflores.org
542,Flores Ramírez Juan Gerardo,PVEM,Representación Proporcional,,S,PROPIETARIO,GerardoFloresR,,,
543,Flores Sánchez Margarita,PRI,Mayoría Relativa,Nayarit,S,PROPIETARIO,,MargaritaFloresNayarit,PNMMARGARITA,
544,Gamboa Patrón Emilio Antonio,PRI,Representación Proporcional,,S,PROPIETARIO,Emilio_Gamboa_,EmilioGamboaPatron,,
545,Gándara Camou Ernesto,PRI,Mayoría Relativa,Sonora,S,PROPIETARIO,EGandaraC,borregogandara,,www.ernestogandara.mx
546,García Gómez Martha Elena,PAN,Primera Minoría,Nayarit,S,PROPIETARIO,MarthaElena_GG,pazytrabajo,marthaelena2011,
547,García Cabeza de Vaca Francisco Javier,PAN,Mayoría Relativa,Tamaulipas,S,PROPIETARIO,fgcabezadevaca,franciscogarciacabezadevaca,,
548,Garza Galván Silvia Guadalupe,PAN,Mayoría Relativa,Coahuila,S,PROPIETARIO,silvia_garza,silvia.garza.547,,www.silviagarza.mx
549,Gastélum Bajo Diva Hadamira,PRI,Representación Proporcional,,S,PROPIETARIO,divagastelum,DivaGastelum,,
550,Gil Zuarth Roberto,PAN,Representación Proporcional,,S,PROPIETARIO,rgilzuarth,Roberto-Gil-Zuarth,webmastergilz,www.robertogil.mx
551,Gómez González Arely,PRI,Representación Proporcional,,S,PROPIETARIO,SenArelyGomez,,,
552,Gómez del Campo Gurza Mariana,PAN,Representación Proporcional,,S,PROPIETARIO,marianagc,marianagomezdelcampo,marianateescucha,www.marianagomezdelcampo.mx
553,González Canto Félix Arturo,PRI,Mayoría Relativa,Quintana Roo,S,PROPIETARIO,Felix_GonzalezC,FandeFelixGonzalezCanto,felixgonzalezcanto37,
554,González Cuevas Isaías,PRI,Mayoría Relativa,Baja California Sur,S,PROPIETARIO,Isaias_CROC,IsaiasCROC,,www.isaiasgonzalez.com
555,González Martínez Jorge Emilio,PVEM,Mayoría Relativa,Quintana Roo,S,PROPIETARIO,jorge_Emilio_G,jorgeemilio.gonzalezmartínez,,
556,Gracia Guzmán Raúl,PAN,Primera Minoría,Nuevo León,S,PROPIETARIO,rgraciag,RaulGraciaG,RaulGraciaG,www.raulgracia.mx
557,Guerra Castillo Marcela,PRI,Mayoría Relativa,Nuevo León,S,PROPIETARIO,MarcelaGuerraNL,MarcelaGuerra.perfil,marcelaguerratv,www.marcelaguerra.org
558,Guevara Espinoza Ana Gabriela,PT,Representación Proporcional,,S,PROPIETARIO,AnaGabrielaGue,,,
559,Hermosillo y Celada Víctor,PAN,Mayoría Relativa,Baja California,S,PROPIETARIO,VHermosilloBC,,,www.ruffoyvictor.com
560,Hernández Deras Ismael Alfredo,PRI,Mayoría Relativa,Durango,S,PROPIETARIO,hernandezderas,Ismael-Hernández-Deras,,
561,Hernández Lecona Lisbeth,PRI,Primera Minoría,Morelos,S,PROPIETARIO,LisbethLecona,lisbeth.hernandezlecona,lisbethsenadora,
562,Herrera Ale Juana Leticia,PRI,Mayoría Relativa,Durango,S,PROPIETARIO,LetyHerreraSen,leticia.herreraale,LHADIPUTADADGO,
563,Herrera Anzaldo Ana Lilia,PRI,Mayoría Relativa,México,S,PROPIETARIO,analiliaherrera,analilia.herreraanzaldo,AnaLiliaSenadoraTV,www.analiliaherrerasenadora.mx
564,Herrera Ávila Fernando,PAN,Mayoría Relativa,Aguascalientes,S,PROPIETARIO,FHErHerreraA,Fernando-Herrera-Avila-Hombre-de-acciones-y-retos,FhernandoHerrera,
565,Irízar López Aarón,PRI,Mayoría Relativa,Sinaloa,S,PROPIETARIO,AaronIrizar,aaroniriazar,,www.aaroniriazar.mx
566,Juárez Cisneros René,PRI,Primera Minoría,Guerrero,S,PROPIETARIO,juarezcisneros,renejuarezcisnerossenador,,
567,Larios Córdova Héctor,PAN,Representación Proporcional,,S,PROPIETARIO,larioshector,hector.larioscordova,,
568,Lavalle Maury Jorge Luis,PAN,Primera Minoría,Campeche,S,PROPIETARIO,JLavalleMaury,JorgeLavalleMaury,JorgeLavalleMaury,"www.jorgelavallemaury,com.mx"
569,López Brito Francisco Salvador,PAN,Primera Minoría,Sinaloa,S,PROPIETARIO,LopezBrito_,LopezBritoSenador,,
570,López Hernández Adán Augusto,PRD,Mayoría Relativa,Tabasco,S,PROPIETARIO,adan_augusto,adanaugusto.lopezhernandez,,
571,Lozano Alarcón Javier,PAN,Primera Minoría,Puebla,S,PROPIETARIO,JLozanoA,JlozanoA,jlozanotv,
572,Maria del Pilar Ortega Martínez,PAN,Representación Proporcional,,S,SUPLENTE,pilarortega,,,piliortegamtz.blogspot.com
573,Martínez García Patricio,PRI,Mayoría Relativa,Chihuahua,S,PROPIETARIO,PatricioMtz2012,PatricioSenador,PatricioSenador,www.patriciosenador.com
574,Martínez Martínez José María,PAN,Primera Minoría,Jalisco,S,PROPIETARIO,ChemaMtzMtz,ChemaMtzMtz,josemaria2011gdl,
575,Mayans Canabal Fernando Enrique,PRD,Mayoría Relativa,Tabasco,S,PROPIETARIO,SenadorMayans ,SenFernandoMayans,SenadorMayans ,www.fernandomayans.mx
576,Mayans Canabal Humberto Domingo,PVEM,Primera Minoría,Tabasco,S,PROPIETARIO,HMayansC,Humberto-Domingo-Mayans-Canabal,,www.humbertomayans.com
577,Melgar Bravo Luis Armando,PVEM,Mayoría Relativa,Chiapas,S,PROPIETARIO,LAMelgar,LuisArmandoMelga,,
